Label	Danger Level	Category
Simply Organic Basil	0	basil
365 Whole Foods Market Basil	2	basil
Great Value (Walmart) Basil Leave	2	basil
McCormick Culinary Ground Basil (Albahaca Molida)	2	basil
Sausage Maker Ground Basil	2	basil
Litehouse Freeze Dried Basil	2	basil
Morton & Bassett Basil 	1	basil
Spice Islands Sweet Basil 	3	basil
Tone's  Ground Black Pepper	0	black pepper
El Guapo Black Pepper Ground (Pimienta Negra Molida)	0	black pepper
Badia Ground Black Pepper (Pimienta Negra Molida)	0	black pepper
Casablanca  Ground Black Pepper (Pimienta Negra)	0	black pepper
Trader Joe's Organic Ground Black Pepper 	0	black pepper
Kirkland Signature (Costco) Fine Ground Black Pepper 	0	black pepper
Simply Organic  Black Pepper 	0	black pepper
Penzeys Spices Tellicherry Black Pepper Fine Shaker Grind	0	black pepper
Great Value (Walmart) Ground Black Pepper	0	black pepper
McCormick  Pure Ground Black Pepper	0	black pepper
Morton & Bassett  Chili Powder	0	chili powder
Spice Islands Chili Powder 	0	chili powder
Simply Organic Chili Powder 	0	chili powder
Badia Polvo de Chili Powder 	0	chili powder
Swad Chilli Powder	0	chili powder
Good & Gather (Target) Chili Powder	0	chili powder
Gebhardt Chili Powder  	0	chili powder
El Guapo  Ground California Chili (Chile California Molido)	0	chili powder
McCormick Dark Chili Powder	0	chili powder
Great Value  (Walmart) Chili Powder 	1	chili powder
Simply Organic Coriander	0	coriander
Happy Belly (Amazon) Ground Coriander	0	coriander
Badia Ground Coriander (Culantro Molido) 	0	coriander
Great Value (Walmart) Organic Ground Coriander 	0	coriander
Spice Islands Ground Coriander 	0	coriander
Morton & Bassett Ground Coriander	0	coriander
Laxmi Brand Corriander Powder  	0	coriander
Penzeys Spices Coriander Ground 	0	coriander
Spice Islands  Ground Cumin Seed 	0	cumin
Simply Organic  Ground Cumin	0	cumin
El Guapo Cumin (Comino)	0	cumin
Morton & Bassett Ground Cumin	0	cumin
McCormick Ground Cumin	0	cumin
365 Whole Foods Market  Cumin Ground	0	cumin
Bolner's Fiesta Ground Comino (Cumin)  	1	cumin
Badia Ground Cumin (Comino Molido)	1	cumin
Great Value (Walmart) Ground Cumin	1	cumin
Trader Joe's Organic Ground Cumin	2	cumin
Simply Organic Curry Powder	0	curry powder
Great Value  (Walmart) Organic Curry Powder	0	curry powder
Morton & Bassett Curry	0	curry powder
Spice Islands Curry Powder	0	curry powder
Jamaican Choice Jamaican Curry Powder	0	curry powder
McCormick Curry Powder	0	curry powder
Happy Belly (Amazon) Curry Powder	0	curry powder
Caribbean Rhythms Mild Curry Powder	0	curry powder
Badia Jamaican Style Curry Powder	0	curry powder
365 Whole Foods Market Organic Garlic Powder	0	garlic powder
Lawry's Casero Garlic Powder (Ajo en Polvo)	0	garlic powder
McCormick Garlic Powder	0	garlic powder
Simply Organic Garlic Powder	0	garlic powder
Bolner's Fiesta Garlic Powder	0	garlic powder
Kirkland Signature (Costco) Granulated California Garlic	0	garlic powder
Great Value  (Walmart) Granulated Garlic	0	garlic powder
La Flor Garlic Powder (Ajo en Polvo)	0	garlic powder
Badia  Garlic Powder (Ajo en Polvo)	0	garlic powder
Spice Supreme  Garlic Powder	0	garlic powder
Simply Organic Ginger	0	ginger
365 Whole Foods Market Ground Ginger	2	ginger
Great Value  (Walmart) Organic Ground Ginger	2	ginger
La Flor Ground Ginger (Jenjibre)	2	ginger
Tone's Ground Ginger	2	ginger
Badia Ground Ginger (Jengibre Molido)	2	ginger
Spice Islands Ground Ginger	2	ginger
Morton & Bassett Ground Ginger	2	ginger
McCormick Ground Ginger	2	ginger
Simply Organic Oregano	2	oregano
McCormick Ground Oregano	2	oregano
Penzeys Spices Oregano Turkish	2	oregano
Spice Islands  Oregano	2	oregano
Badia Ground Oregano (Molido)	2	oregano
Sadaf  Oregano Leaves (Origan)	2	oregano
La Flor  Ground Oregano	4	oregano
Morton & Bassett Paprika	0	paprika
Simply Organic Paprika	0	paprika
Spice Islands  Paprika	0	paprika
365 Whole Foods Market  Paprika	0	paprika
Great Value  (Walmart) Organic Paprika	1	paprika
Badia Paprika (Pimenton)	1	paprika
Pride of Szeged Sweet Hungarian Style Paprika	2	paprika
McCormick Paprika	2	paprika
Pacific Plaza Imports Full Thread Spanish Saffron	0	saffron
Krokos Kozanis Organic Greek Red Saffron in Filaments	0	saffron
Vigo Imported Saffron	0	saffron
Badia Pure Selected Saffron (Azafran) 	0	saffron
McCormick Gourmet All Natural Spanish Saffron	0	saffron
Sadaf Pure, Premium Saffron Thread 	0	saffron
Sincerely Nuts  Sesame Hulled	0	sesame seed
Woodstock Organic Sesame Tahini Unsalted	0	sesame seed
Al Wadi Al Akhdar Tahina 100% Ground Sesame	0	sesame seed
Grain Brain Organic Hulled Sesame Seeds 	0	sesame seed
Bob's Red Mill Premium Hulled White Sesame Seeds	0	sesame seed
Penzeys Spices Sesame Seeds White Hulled	0	sesame seed
Roland Tahini Pure Ground Sesame Seed	0	sesame seed
JFC Premium Roasted White Sesame Seed 	0	sesame seed
Sadaf Sesame Seed Raw	0	sesame seed
Spice Islands Ground Thyme	2	thyme
Morton & Bassett Ground Thyme	2	thyme
McCormick Ground Thyme	2	thyme
Tone'sGround Thyme	3	thyme
Happy Belly (Amazon) Ground Thyme	4	thyme
Laxmi Brand Turmeric Powder	0	turmeric
Spice Islands Turmeric	0	turmeric
Sadaf Turmeric Powder (Curcuma)	0	turmeric
Simply Organic Turmeric	0	turmeric
Badia Ground Turmeric (Curcuma Molida)	0	turmeric
Kirkland Signature (Costco) Ground Turmeric 	2	turmeric
Morton & Bassett Turmeric	2	turmeric
McCormick Ground Turmeric	2	turmeric
La Flor Ground Turmeric	4	turmeric
Great Value (Walmart) Organic Ground White Pepper	0	white pepper
Penzeys Spices White Pepper Indonesia Fine Ground	0	white pepper
Badia  Ground White (Pepper Pimienta Blanca Molida)	0	white pepper
Morton & Bassett Ground White Pepper	0	white pepper
Spice Islands Ground White Pepper	0	white pepper
Sadaf  Ground White Pepper (Poivre Blanc Moulu)	0	white pepper
McCormick  Ground White Pepper	0	white pepper
 La Flor White Pepper	0	white pepper
